"","y_cm","Es_keV","contents","PrReach","uPrReach","PrDet","uPrDet"
"215",-1000,1400,"m",1.9655e-05,3.15637342895688e-07,1.2725e-05,2.57631120304788e-07
"216",-1250,1400,"m",9.77000000000003e-06,2.22154820580153e-07,6.38999999999999e-06,1.82075679537383e-07
"217",-1500,1400,"m",5.876499192e-06,3.14766662154526e-08,3.805164117e-06,2.57349409162698e-08
"218",0,1450,"m",0.015357435,8.75064014852368e-06,0.011152515,7.68828511689664e-06
"219",-250,1450,"m",0.002339295,3.42766284307489e-06,0.00161414,2.91273887443513e-06
"220",-500,1450,"m",0.00014116,8.44104236385827e-07,9.35675e-05,7.00729523111138e-07
"221",-750,1450,"m",4.3705e-05,4.69168839686738e-07,2.82875e-05,3.83073087042228e-07
"222",-1000,1450,"m",2.0415e-05,3.21653826525506e-07,1.3275e-05,2.65082930293993e-07
"223",-1250,1450,"m",1.064e-05,2.31744942663804e-07,6.83499999999999e-06,1.8781631108679e-07
"224",-1500,1450,"m",6.1349997885e-06,3.21722092699043e-08,3.975333465e-06,2.6337530538255e-08
"225",0,1500,"m",0.015713025,8.88066925441335e-06,0.0114338025,7.75998875766514e-06
"226",-250,1500,"m",0.0024271,3.48981303180958e-06,0.00167955,2.97359650632403e-06
"227",-500,1500,"m",0.000148825,8.66333340447544e-07,9.87875e-05,7.19575227164045e-07
"228",-750,1500,"m",4.4935e-05,4.75911342951342e-07,2.93575e-05,3.91301170927602e-07
"229",-1000,1500,"m",2.1285e-05,3.28523207596891e-07,1.3835e-05,2.69485254676392e-07
"230",-1250,1500,"m",1.1185e-05,2.37443344753017e-07,7.20999999999999e-06,1.94293930578775e-07
"231",-1500,1500,"m",6.373834638e-06,3.27952225848839e-08,4.1264160325e-06,2.68300128694501e-08
"232",0,1550,"m",0.016051145,9.00199633554468e-06,0.0117080925,7.8912347315786e-06
"233",-250,1550,"m",0.002519845,3.55509532465819e-06,0.0017479525,3.0371049370228e-06
"234",-500,1550,"m",0.000155555,8.86062259676909e-07,0.0001035075,7.39930217060239e-07
"235",-750,1550,"m",4.499e-05,4.76318213186836e-07,2.9575e-05,3.93472008498381e-07
"236",-1000,1550,"m",2.1515e-05,3.30500417505031e-07,1.4055e-05,2.72160256511214e-07
"237",-1250,1550,"m",1.128e-05,2.39259817707654e-07,7.255e-06,1.94610216593323e-07
"238",-1500,1550,"m",6.5721690165e-06,3.32854689794954e-08,4.263167788e-06,2.72808088871312e-08
"239",0,1600,"m",0.01638669,9.04826272363522e-06,0.0119823625,7.94646341284936e-06
"240",-250,1600,"m",0.002600715,3.61142616505772e-06,0.00180695,3.08691801708652e-06
"241",-500,1600,"m",0.000162045,9.04481648908368e-07,0.00010756,7.53611317292774e-07
"242",-750,1600,"m",4.7105e-05,4.87692581859208e-07,3.086e-05,4.01491880835093e-07
"243",-1000,1600,"m",2.286e-05,3.40291303145922e-07,1.4885e-05,2.80767683131446e-07
"244",-1250,1600,"m",1.174e-05,2.43531706143163e-07,7.61749999999999e-06,1.99197511088869e-07
"245",-1500,1600,"m",6.8011672395e-06,3.38682629142832e-08,4.4138341485e-06,2.77784217565307e-08
"246",0,1650,"m",0.016714725,9.16495648022761e-06,0.0122421425,8.06805829919004e-06
"247",-250,1650,"m",0.002690775,3.67196831195379e-06,0.0018738275,3.14676372385583e-06
"248",-500,1650,"m",0.00016905,9.23934603449833e-07,0.0001126175,7.70982217406999e-07
"249",-750,1650,"m",4.9225e-05,4.9837912533507e-07,3.2195e-05,4.10297857742701e-07
"250",-1000,1650,"m",2.333e-05,3.43279680000142e-07,1.502e-05,2.81591250521922e-07
"251",-1250,1650,"m",1.235e-05,2.49498319518389e-07,8.11500000000002e-06,2.05601001491359e-07
"252",-1500,1650,"m",6.979999725e-06,3.42905517922686e-08,4.55258349550001e-06,2.82241319686813e-08
"253",0,1700,"m",0.01702843,9.27732016611872e-06,0.0124956875,8.18447402269147e-06
"254",-250,1700,"m",0.00276651,3.72666168172501e-06,0.0019294025,3.1972294221889e-06
"255",-500,1700,"m",0.000176185,9.43127560391753e-07,0.00011787,7.90021846480922e-07
"256",-750,1700,"m",5.0525e-05,5.05043620948231e-07,3.3185e-05,4.18229961564209e-07
"257",-1000,1700,"m",2.3795e-05,3.46875145923933e-07,1.546e-05,2.84695720819176e-07
"258",-1250,1700,"m",1.259e-05,2.52098613158621e-07,8.21500000000003e-06,2.07548606915344e-07
"259",-1500,1700,"m",7.292001645e-06,3.50519068282571e-08,4.746416222e-06,2.88245614818185e-08
"260",0,1750,"m",0.01733468,9.2956113666529e-06,0.0127382,8.21356399181068e-06
"261",-250,1750,"m",0.00284953,3.77929806490336e-06,0.0019914725,3.2477853122605e-06
"262",-500,1750,"m",0.00018309,9.6116944298326e-07,0.0001227425,8.06435591680335e-07
"263",-750,1750,"m",5.29800000000001e-05,5.16943020426575e-07,3.486e-05,4.30063248207749e-07
"264",-1000,1750,"m",2.387e-05,3.48335239605829e-07,1.5655e-05,2.8796430587618e-07
"265",-1250,1750,"m",1.3e-05,2.56123355204577e-07,8.61750000000005e-06,2.13790635463325e-07
"266",-1500,1750,"m",7.51083392e-06,3.556600141125e-08,4.9006658655e-06,2.93099458276054e-08
"267",0,1800,"m",0.017627095,9.39807700419111e-06,0.0129742675,8.32163379214842e-06
"268",-250,1800,"m",0.00292892,3.83349638876509e-06,0.0020498925,3.29646979143129e-06
"269",-500,1800,"m",0.00019042,9.80170938956568e-07,0.0001278825,8.23651301534629e-07
"270",-750,1800,"m",5.4765e-05,5.26125978134277e-07,3.60500000000001e-05,4.35032580444557e-07
"271",-1000,1800,"m",2.4955e-05,3.5569755434252e-07,1.63125e-05,2.95696122853873e-07
"272",-1250,1800,"m",1.34000000000001e-05,2.59994064904375e-07,8.72250000000004e-06,2.14903455901132e-07
"273",-1500,1800,"m",7.711666478e-06,3.60525719651292e-08,5.0360012735e-06,2.97384186091905e-08
"274",0,1850,"m",0.017902855,9.4957780445884e-06,0.013193435,8.42558236856929e-06
"275",-250,1850,"m",0.0030018,3.87802156859319e-06,0.0021042775,3.34307921815942e-06
"276",-500,1850,"m",0.000196615,9.9559373520327e-07,0.00013275,8.4105828427828e-07
"277",-750,1850,"m",5.6325e-05,5.33709814019051e-07,3.7125e-05,4.42101802766908e-07
"278",-1000,1850,"m",2.588e-05,3.62403252194638e-07,1.68425e-05,3.00556313864079e-07
"279",-1250,1850,"m",1.354e-05,2.61719842965241e-07,8.86750000000005e-06,2.1657943102777e-07
